栏目,节目标题,节目链接,媒体数量,爬取时间
非遗展演,登封窑烧制技艺-李景洲,http://www.hawh.cn/content/redirect?id=105161005971846067,0,
非遗展演,非遗河南掠影,http://www.hawh.cn/content/redirect?id=105169505817199655,0,
非遗展演,舍巴乐,http://www.hawh.cn/content/redirect?id=105166752945603269,0,
非遗展演,花鼓闹春,http://www.hawh.cn/content/redirect?id=105166982293330345,0,
非遗展演,沧州狮舞(1),http://www.hawh.cn/content/redirect?id=105162044840725540,0,
非遗展演,沧州狮舞(2),http://www.hawh.cn/content/redirect?id=105169703239771844,0,
非遗展演,开封盘鼓,http://www.hawh.cn/content/redirect?id=105168295317811234,0,
非遗展演,河南（淮阳）非物质文化展演纪实,http://www.hawh.cn/content/redirect?id=105166478474618478,0,
非遗展演,花房姑娘（上）,http://www.hawh.cn/content/redirect?id=105167001608206746,0,
非遗展演,花房姑娘（下）,http://www.hawh.cn/content/redirect?id=105168759754871054,0,
非遗展演,天之骄子（下）,http://www.hawh.cn/content/redirect?id=105162679508992111,0,
非遗展演,天之骄子（上）,http://www.hawh.cn/content/redirect?id=105164071911958640,0,
非遗展演,浮士德（下）,http://www.hawh.cn/content/redirect?id=105164081283254765,0,
非遗展演,浮士德（上）,http://www.hawh.cn/content/redirect?id=105165805645002305,0,
外国电影,一个明星的诞生,http://www.hawh.cn/content/redirect?id=108107381800995601,0,
外国电影,国防大机密,http://www.hawh.cn/content/redirect?id=108109969303862406,0,
外国电影,乱世佳人,http://www.hawh.cn/content/redirect?id=108106675949804320,0,
外国电影,罗密欧与朱丽叶,http://www.hawh.cn/content/redirect?id=108106678203013687,0,
外国电影,巴黎圣母院,http://www.hawh.cn/content/redirect?id=108107945405650982,0,
外国电影,傲慢与偏见,http://www.hawh.cn/content/redirect?id=108102464597421893,0,
外国电影,六福客栈,http://www.hawh.cn/content/redirect?id=108106792199567017,0,
外国电影,火车谋杀案,http://www.hawh.cn/content/redirect?id=108107592187303288,0,
外国电影,马蒂,http://www.hawh.cn/content/redirect?id=108106887327999525,0,
外国电影,搜索者,http://www.hawh.cn/content/redirect?id=108102924201909810,0,
外国电影,偷渡者,http://www.hawh.cn/content/redirect?id=108108226498263189,0,
外国电影,威莉温基,http://www.hawh.cn/content/redirect?id=108105312062675391,0,
外国电影,心声泪影,http://www.hawh.cn/content/redirect?id=108107083734572412,0,
外国电影,我们的小姑娘,http://www.hawh.cn/content/redirect?id=108106030917381335,0,
外国电影,寒夜琴挑,http://www.hawh.cn/content/redirect?id=108107584461875913,0,
外国电影,相逢圣路易,http://www.hawh.cn/content/redirect?id=108106746876555465,0,
外国电影,上帝的宠儿(下),http://www.hawh.cn/content/redirect?id=108104013294214338,0,
外国电影,上帝的宠儿(上),http://www.hawh.cn/content/redirect?id=108103384082925326,0,
外国电影,小公主,http://www.hawh.cn/content/redirect?id=108107861343828496,0,
外国电影,卖花女,http://www.hawh.cn/content/redirect?id=108101696646759329,0,
外国电影,百万美元美人鱼,http://www.hawh.cn/content/redirect?id=108102770379449443,0,
外国电影,翠堤春晓,http://www.hawh.cn/content/redirect?id=108109382563177274,0,
外国电影,青山翠谷,http://www.hawh.cn/content/redirect?id=108108501372856359,0,
外国电影,鸳梦重温,http://www.hawh.cn/content/redirect?id=108102239224218209,0,
戏曲精粹,天仙配,http://www.hawh.cn/content/redirect?id=105157195816098041,0,
戏曲精粹,穆桂英挂帅-豫剧,http://www.hawh.cn/content/redirect?id=105151349450348183,0,
戏曲精粹,霸王别姬_京剧,http://www.hawh.cn/content/redirect?id=105159827349819805,0,
戏曲精粹,四郎探母-京剧唱段,http://www.hawh.cn/content/redirect?id=105152099060762555,0,
戏曲精粹,惊蛰,http://www.hawh.cn/content/redirect?id=105153970576333303,0,
戏曲精粹,白扇计_1,http://www.hawh.cn/content/redirect?id=105156948337867747,0,
戏曲精粹,白扇计_2,http://www.hawh.cn/content/redirect?id=105155952516016655,0,
戏曲精粹,白扇计_3,http://www.hawh.cn/content/redirect?id=105154106672221500,0,
戏曲精粹,贵妃醉酒,http://www.hawh.cn/content/redirect?id=105152830986971251,0,
戏曲精粹,盘妻索妻_1,http://www.hawh.cn/content/redirect?id=105153913616932042,0,
戏曲精粹,盘妻索妻_2,http://www.hawh.cn/content/redirect?id=105158825962605544,0,
戏曲精粹,盘妻索妻_3,http://www.hawh.cn/content/redirect?id=105158093465908985,0,
戏曲精粹,文成公主,http://www.hawh.cn/content/redirect?id=105157199010223849,0,
戏曲精粹,薛刚打朝,http://www.hawh.cn/content/redirect?id=105156125885856651,0,
戏曲精粹,天仙配,http://www.hawh.cn/content/redirect?id=105152904634616098,0,
戏曲精粹,打金枝(1),http://www.hawh.cn/content/redirect?id=105156694503878687,0,
戏曲精粹,打金枝(2),http://www.hawh.cn/content/redirect?id=105159362608719672,0,
戏曲精粹,小包公(下),http://www.hawh.cn/content/redirect?id=105159182646236225,0,
戏曲精粹,小包公(上),http://www.hawh.cn/content/redirect?id=105156203124420868,0,
戏曲精粹,铡刀下的红梅（下）,http://www.hawh.cn/content/redirect?id=105152908249527742,0,
戏曲精粹,铡刀下的红梅 （上）,http://www.hawh.cn/content/redirect?id=105156008239540728,0,
戏曲精粹,大祭桩 4,http://www.hawh.cn/content/redirect?id=105153174862547472,0,
戏曲精粹,大祭桩 3,http://www.hawh.cn/content/redirect?id=105156862688316616,0,
戏曲精粹,大祭桩 2,http://www.hawh.cn/content/redirect?id=105157022838164475,0,
戏曲精粹,大祭桩 1,http://www.hawh.cn/content/redirect?id=105158902380268631,0,
戏曲精粹,山村母亲 ,http://www.hawh.cn/content/redirect?id=105151203546452296,0,
戏曲精粹,颖河人家,http://www.hawh.cn/content/redirect?id=105154097071931563,0,
戏曲精粹,红河绿柳 （上）,http://www.hawh.cn/content/redirect?id=105155695223437372,0,
戏曲精粹,红河绿柳（下）,http://www.hawh.cn/content/redirect?id=105153215552413954,0,
戏曲精粹,追鱼,http://www.hawh.cn/content/redirect?id=105159031712985869,0,
戏曲精粹,张娘娘传奇,http://www.hawh.cn/content/redirect?id=105152682353557469,0,
戏曲精粹,爱河滔滔,http://www.hawh.cn/content/redirect?id=105151769874873739,0,
戏曲精粹,秦香莲后传,http://www.hawh.cn/content/redirect?id=105159129908885495,0,
戏曲精粹,杨三姐告状,http://www.hawh.cn/content/redirect?id=105154090429007545,0,
戏曲精粹,杨六郎招亲 ,http://www.hawh.cn/content/redirect?id=105158740357993039,0,
戏曲精粹,破镜重圆,http://www.hawh.cn/content/redirect?id=105158988974264733,0,
戏曲精粹,四姐下凡,http://www.hawh.cn/content/redirect?id=105158731673171482,0,
戏曲精粹,八珍汤,http://www.hawh.cn/content/redirect?id=105158328133588589,0,
戏曲精粹,《五福临门》一声哭出我满腔恨冤,http://www.hawh.cn/content/redirect?id=105157046952960611,0,
戏曲精粹,《五福临门》饲料盆手中拿,http://www.hawh.cn/content/redirect?id=105152687624020302,0,
戏曲精粹,《卷席筒续集》小仓娃我生来灾星重,http://www.hawh.cn/content/redirect?id=105155716972015381,0,
戏曲精粹,《卷席筒续》找兄嫂我不顾路途远,http://www.hawh.cn/content/redirect?id=105159892045945971,0,
戏曲精粹,《卷席筒续集》为人要把良心来讲,http://www.hawh.cn/content/redirect?id=105155646984672965,0,
戏曲精粹,《陈三两》为陈奎我操碎一片心肠,http://www.hawh.cn/content/redirect?id=105155198527550896,0,
戏曲精粹,《陈三两》自由儿随爹爹苦读文章,http://www.hawh.cn/content/redirect?id=105154309647531451,0,
戏曲精粹,《陈三两》陈三两迈步上公庭,http://www.hawh.cn/content/redirect?id=105153780089594387,0,
戏曲精粹,《陈三两》陈奎好比一只虎,http://www.hawh.cn/content/redirect?id=105158493436012230,0,
戏曲精粹,村官李天成_1,http://www.hawh.cn/content/redirect?id=105158148691024572,0,
戏曲精粹,村官李天成_2,http://www.hawh.cn/content/redirect?id=105153306182682141,0,
戏曲精粹,村官李天成_3,http://www.hawh.cn/content/redirect?id=105156869485311840,0,
戏曲精粹,村官李天成_4,http://www.hawh.cn/content/redirect?id=105158594529631364,0,
戏曲精粹,香魂女_上,http://www.hawh.cn/content/redirect?id=105151298551262319,0,
戏曲精粹,香魂女_下,http://www.hawh.cn/content/redirect?id=105151837711786758,0,
戏曲精粹,红果红了_2,http://www.hawh.cn/content/redirect?id=105159082004309449,0,
戏曲精粹,红果红了_1,http://www.hawh.cn/content/redirect?id=105152674311777503,0,
戏曲精粹,红果红了_3,http://www.hawh.cn/content/redirect?id=105159935430832331,0,
戏曲精粹,婚姻大事02.WMV,http://www.hawh.cn/content/redirect?id=105159661678168997,0,
戏曲精粹,包公误01.wmv,http://www.hawh.cn/content/redirect?id=105153728498958553,0,
戏曲精粹,包公误02.wmv,http://www.hawh.cn/content/redirect?id=105155921710454850,0,
戏曲精粹,宝莲灯01.wmv,http://www.hawh.cn/content/redirect?id=105155804823240618,0,
佳片共享,国庆十点钟(上),http://www.hawh.cn/content/redirect?id=108113513435645360,0,
佳片共享,国庆十点钟(下),http://www.hawh.cn/content/redirect?id=108114692909949563,0,
佳片共享,南昌起义,http://www.hawh.cn/content/redirect?id=108113739518559757,0,
佳片共享,红孩子（下）.,http://www.hawh.cn/content/redirect?id=108116473937688949,0,
佳片共享,红孩子（上）,http://www.hawh.cn/content/redirect?id=108113088178161378,0,
佳片共享,羊城暗哨(下),http://www.hawh.cn/content/redirect?id=108111713073817771,0,
佳片共享,羊城暗哨(上）,http://www.hawh.cn/content/redirect?id=108119796949345806,0,
佳片共享,啊！摇篮（下）,http://www.hawh.cn/content/redirect?id=108111408817147560,0,
佳片共享,啊！摇篮（上）,http://www.hawh.cn/content/redirect?id=108116052446632714,0,
佳片共享,两个小八路(下),http://www.hawh.cn/content/redirect?id=108116728337047293,0,
佳片共享,两个小八路(上),http://www.hawh.cn/content/redirect?id=108116940148775670,0,
